日時	ミリ秒	計測位置1	計測位置2	計測位置3	計測位置4	計測位置5	計測位置6	計測位置7
2014/10/11 17:22:41	000000	2.594074965	4.952324867	77.82225037	-126.873848	-70.0400238	-43.39179993	-46.45752716
2014/10/11 17:22:41	010000	-1.414950013	8.961350441	74.99234772	-124.9872513	-67.68177795	-42.212677	-46.45752716
2014/10/11 17:22:41	020000	-4.952324867	14.38532543	73.34157562	-123.1006546	-66.9743042	-41.9768486	-44.57092667
2014/10/11 17:22:41	030000	-10.84794998	21.22425079	72.63410187	-125.4589005	-68.38925171	-42.44850159	-40.09025192
2014/10/11 17:22:41	040000	-18.15852547	29.9497757	72.1624527	-126.4021988	-69.80419922	-43.8634491	-37.02452469
2014/10/11 17:22:41	050000	-23.34667587	36.55287552	70.98332214	-127.8171539	-70.51167297	-44.80675125	-34.90209961
2014/10/11 17:22:41	060000	-25.46910095	38.91112518	70.51167297	-128.2888031	-70.51167297	-44.80675125	-32.07220078
2014/10/11 17:22:41	070000	-24.76162529	38.43947601	70.98332214	-127.8171539	-70.98332214	-45.51422501	-29.71395111
2014/10/11 17:22:41	080000	-23.11084938	36.31705093	70.74749756	-126.6380234	-70.0400238	-44.33510208	-27.82735062
2014/10/11 17:22:41	090000	-19.80929947	31.83637619	68.15342712	-122.6289978	-66.5026474	-41.9768486	-28.29899979
2014/10/11 17:22:41	100000	-14.38532543	24.76162529	64.61605072	-116.0259018	-61.78615189	-38.91112518	-29.00647545
2014/10/11 17:22:41	110000	-8.253874779	17.21522522	61.3144989	-111.0735779	-56.59799957	-35.13792419	-27.59152603
2014/10/11 17:22:41	120000	-2.358250141	9.904649734	58.24877548	-104.9421234	-52.35314941	-32.30802536	-24.76162529
2014/10/11 17:22:41	130000	1.414950013	4.952324867	54.23974991	-99.28232574	-47.63665009	-29.47812462	-20.51677513
2014/10/11 17:22:41	140000	5.659800053	-0.471650004	50.46654892	-94.33000183	-43.62762451	-25.94075012	-16.74357605
2014/10/11 17:22:41	150000	12.73455048	-8.489700317	49.05160141	-89.6135025	-40.09025192	-23.58250046	-14.14949989
2014/10/11 17:22:41	160000	20.04512596	-18.15852547	48.57995224	-86.0761261	-37.49617386	-21.69589996	-9.904649734
2014/10/11 17:22:41	170000	25.94075012	-26.64822578	46.22169876	-82.06710052	-34.19462585	-19.10182571	-5.659800053
2014/10/11 17:22:41	180000	32.07220078	-33.72297668	43.15597534	-75.2281723	-29.71395111	-15.56445026	-4.48067522
2014/10/11 17:22:41	190000	37.73200226	-40.79772568	39.38277435	-68.86090088	-24.05414963	-12.49872494	-5.659800053
2014/10/11 17:22:41	200000	42.44850159	-46.69335175	35.60957718	-62.72945023	-19.57347488	-8.489700317	-7.782225132
2014/10/11 17:22:41	210000	43.39179993	-47.87247467	31.83637619	-57.06964874	-15.56445026	-5.659800053	-7.782225132
2014/10/11 17:22:41	220000	40.56190109	-45.27840042	26.17657471	-52.35314941	-10.84794998	-2.829900026	-5.659800053
2014/10/11 17:22:41	230000	36.08122635	-40.32607651	20.75259972	-46.92917633	-6.838924885	-0.707475007	-4.009025097
2014/10/11 17:22:41	240000	32.54384995	-35.37374878	16.74357605	-43.62762451	-4.009025097	0.943300009	-3.773200035
2014/10/11 17:22:41	250000	28.0631752	-31.12890053	14.38532543	-42.44850159	-2.829900026	1.650774956	-2.358250141
2014/10/11 17:22:41	260000	23.11084938	-24.28997612	11.55542469	-40.79772568	-2.122425079	1.414950013	1.179125071
2014/10/11 17:22:41	270000	18.39435005	-19.3376503	8.253874779	-38.91112518	-0.471650004	2.358250141	3.537374973
2014/10/11 17:22:41	280000	16.03610039	-17.4510498	5.423974991	-35.84540176	1.650774956	3.773200035	3.065725088
2014/10/11 17:22:41	290000	16.50774956	-17.4510498	3.537374973	-33.72297668	4.009025097	5.423974991	0.235825002
2014/10/11 17:22:41	300000	16.27192497	-16.97940063	0.707475007	-30.65724945	6.838924885	6.838924885	-1.414950013
2014/10/11 17:22:41	310000	14.85697556	-15.09280014	-2.829900026	-26.64822578	9.66882515	8.725524902	-0.471650004
2014/10/11 17:22:41	320000	13.44202518	-13.91367531	-6.131450176	-23.58250046	12.49872494	10.6121254	0.707475007
2014/10/11 17:22:41	330000	13.44202518	-14.62115002	-7.54640007	-21.93172455	13.91367531	11.31960011	0.235825002
2014/10/11 17:22:41	340000	16.03610039	-16.27192497	-8.018050194	-20.9884243	14.38532543	11.55542469	0
2014/10/11 17:22:41	350000	18.39435005	-20.51677513	-8.253874779	-20.51677513	15.32862473	12.49872494	2.594074965
2014/10/11 17:22:41	360000	22.40337563	-24.99744987	-7.074749947	-19.80929947	15.32862473	12.73455048	6.838924885
2014/10/11 17:22:41	370000	29.71395111	-33.4871521	-5.423974991	-19.3376503	15.32862473	12.97037506	9.66882515
2014/10/11 17:22:41	380000	38.91112518	-45.04257584	-2.829900026	-18.63017464	15.56445026	13.67784977	9.197175026
2014/10/11 17:22:41	390000	47.63665009	-55.65470123	-1.414950013	-17.68687439	16.03610039	14.62115002	5.659800053
2014/10/11 17:22:41	400000	52.11732483	-61.07867432	-0.707475007	-17.21522522	16.97940063	15.80027485	2.594074965
2014/10/11 17:22:41	410000	53.29645157	-63.2010994	0	-17.68687439	16.97940063	15.80027485	1.179125071
2014/10/11 17:22:41	420000	54.00392532	-63.67275238	1.179125071	-17.68687439	16.50774956	15.09280014	-2.122425079
2014/10/11 17:22:41	430000	54.00392532	-63.67275238	1.414950013	-19.3376503	15.80027485	15.09280014	-7.074749947
2014/10/11 17:22:41	440000	50.9382019	-59.66372681	2.358250141	-20.51677513	14.38532543	13.91367531	-10.6121254
2014/10/11 17:22:41	450000	45.51422501	-53.06062698	4.009025097	-23.81832504	11.31960011	11.79125023	-11.55542469
2014/10/11 17:22:41	460000	40.79772568	-48.10829926	5.895625114	-28.29899979	8.018050194	8.961350441	-11.08377552
2014/10/11 17:22:41	470000	38.6753006	-44.57092667	8.489700317	-31.83637619	5.188149929	6.838924885	-12.49872494
